Round,Calendar_Week_Num,Day_ID,Date,Date_time,Home_Team_ID,Away_Team_ID,Venue_Stadium_ID,Travel_km,Slot_tier,Home_Tier,Away_Tier,Match_Tier,Is_FIFA,Is_CAF,Is_SuperCup,Postponed
24,30,D_20270226,2027-02-26,2027-02-26 14:30:00,ISM,CER,ISMAILIA_ST,15.0,2,2,2,2,0,0,0,False
24,43,D_20270523,2027-05-23,2027-05-23 20:00:00,BNK,GOU,CAIRO_INTL,440.0,1,2,3,2,0,0,0,False
25,28,D_20270211,2027-02-11,2027-02-11 17:00:00,PET,MOD,PETRO_SPORT,15.0,3,3,2,2,0,0,0,False
25,28,D_20270211,2027-02-11,2027-02-11 17:00:00,ZAM,ZED,CAIRO_INTL,0.0,3,1,2,1,0,0,0,False
25,28,D_20270211,2027-02-11,2027-02-11 19:00:00,ISM,PYR,ISMAILIA_ST,135.0,3,2,1,1,0,0,0,False
25,28,D_20270211,2027-02-11,2027-02-11 19:00:00,MAH,AHL,MAHALLA,105.0,3,3,1,1,0,0,0,False
25,28,D_20270211,2027-02-11,2027-02-11 21:00:00,CER,SMO,SUEZ_CANAL,290.0,3,2,2,2,0,0,0,False
25,28,D_20270211,2027-02-11,2027-02-11 21:00:00,GOU,MAS,EL_GOUNA,560.0,3,3,2,2,0,0,0,False
25,29,D_20270217,2027-02-17,2027-02-17 17:00:00,BNK,ITH,CAIRO_INTL,210.0,3,2,2,2,0,0,0,False
25,29,D_20270220,2027-02-20,2027-02-20 14:30:00,HAR,ENP,HARAS,235.0,2,3,3,3,0,0,0,False
25,36,D_20270404,2027-04-04,2027-04-04 17:00:00,TLG,PHA,GEHAZ_REYADA,195.0,2,3,3,3,0,0,0,False
26,28,D_20270208,2027-02-08,2027-02-08 17:00:00,SMO,ZAM,BORG_ARAB,170.0,3,2,1,1,0,0,0,False
26,28,D_20270208,2027-02-08,2027-02-08 17:00:00,ZED,AHL,CAIRO_INTL,0.0,3,2,1,1,0,0,0,False
26,28,D_20270208,2027-02-08,2027-02-08 19:00:00,MAS,CER,SUEZ_CANAL,0.0,3,2,2,2,0,0,0,False
26,28,D_20270208,2027-02-08,2027-02-08 19:00:00,PYR,BNK,30_JUNE,15.0,3,1,2,1,0,0,0,False
26,28,D_20270208,2027-02-08,2027-02-08 21:00:00,ENP,PET,PETRO_SPORT,0.0,3,3,3,3,0,0,0,False
26,28,D_20270208,2027-02-08,2027-02-08 21:00:00,ITH,MAH,ALEX_STADIUM,130.0,3,2,3,2,0,0,0,False
26,30,D_20270223,2027-02-23,2027-02-23 14:30:00,GOU,ISM,EL_GOUNA,560.0,3,3,2,2,0,0,0,False
26,31,D_20270304,2027-03-04,2027-03-04 14:30:00,PHA,HAR,BORG_ARAB,55.0,3,3,3,3,0,0,0,False
26,42,D_20270516,2027-05-16,2027-05-16 20:00:00,MOD,TLG,AL_SALAM,15.0,1,2,3,2,0,0,0,False
27,27,D_20270205,2027-02-05,2027-02-05 17:00:00,ZAM,PHA,CAIRO_INTL,170.0,2,1,3,1,0,0,0,True
27,27,D_20270205,2027-02-05,2027-02-05 19:00:00,PET,ZED,PETRO_SPORT,15.0,2,3,2,2,0,0,0,False
27,27,D_20270205,2027-02-05,2027-02-05 19:00:00,SMO,TLG,BORG_ARAB,195.0,2,2,3,2,0,0,0,False
27,27,D_20270205,2027-02-05,2027-02-05 21:00:00,AHL,MAS,CAIRO_INTL,110.0,1,1,2,1,0,0,0,True
27,27,D_20270205,2027-02-05,2027-02-05 21:00:00,ITH,PYR,ALEX_STADIUM,235.0,1,2,1,1,0,0,0,True
27,28,D_20270208,2027-02-08,2027-02-08 14:30:00,ISM,HAR,ISMAILIA_ST,330.0,3,2,3,2,0,0,0,False
27,29,D_20270214,2027-02-14,2027-02-14 17:00:00,BNK,ENP,CAIRO_INTL,15.0,2,2,3,2,0,0,0,False
27,35,D_20270331,2027-03-31,2027-03-31 22:00:00,MOD,GOU,AL_SALAM,465.0,3,2,3,2,0,0,0,False
27,38,D_20270421,2027-04-21,2027-04-21 17:00:00,CER,MAH,SUEZ_CANAL,225.0,3,2,3,2,0,0,0,False
28,27,D_20270202,2027-02-02,2027-02-02 17:00:00,ZAM,MOD,CAIRO_INTL,15.0,3,1,2,1,0,0,0,False
28,27,D_20270202,2027-02-02,2027-02-02 19:00:00,PYR,ISM,30_JUNE,135.0,3,1,2,1,0,0,0,False
28,27,D_20270202,2027-02-02,2027-02-02 19:00:00,TLG,MAS,GEHAZ_REYADA,135.0,3,3,2,2,0,0,0,False
28,27,D_20270202,2027-02-02,2027-02-02 21:00:00,AHL,ITH,CAIRO_INTL,210.0,3,1,2,1,0,0,0,False
28,27,D_20270202,2027-02-02,2027-02-02 21:00:00,PET,SMO,PETRO_SPORT,195.0,3,3,2,2,0,0,0,False
