match_idx,round,home,away,date,caf_violated,violation_reason
145,17,AHL,ISM,2026-12-25,False,
146,17,CER,MAH,2026-12-24,False,
147,17,ZED,TLG,2026-12-24,False,
148,17,MOD,ENP,2026-12-24,False,
149,17,ZAM,MAS,2026-12-26,False,
150,17,PYR,PET,2026-12-23,False,
151,17,ITH,GOU,2026-12-23,False,
152,17,SMO,HAR,2026-12-22,False,
153,18,BNK,ISM,2027-01-08,False,
154,18,PHA,CER,2027-01-07,False,
155,18,TLG,AHL,2026-12-31,False,
156,18,MAH,MOD,2027-01-05,False,
157,18,MAS,ZED,2027-01-01,False,
158,18,ENP,PYR,2026-12-31,False,
159,18,GOU,ZAM,2027-01-01,False,
160,18,PET,SMO,2027-01-06,False,
161,18,HAR,ITH,2027-01-06,False,
162,19,CER,BNK,2027-01-13,False,
163,19,ISM,TLG,2027-01-12,False,
164,19,MOD,PHA,2027-01-12,False,
165,19,AHL,MAS,2027-01-23,False,
166,19,PYR,MAH,2027-01-22,False,
167,19,ZED,GOU,2027-01-14,False,
168,19,SMO,ENP,2027-01-10,False,
169,19,ZAM,HAR,2027-01-23,False,
170,19,ITH,PET,2027-01-14,False,
171,20,BNK,TLG,2027-01-26,False,
172,20,CER,MOD,2027-01-25,False,
173,20,MAS,ISM,2027-01-29,False,
174,20,PHA,PYR,2027-01-28,False,
175,20,GOU,AHL,2027-01-29,False,
176,20,MAH,SMO,2027-01-26,False,
177,20,HAR,ZED,2027-01-28,False,
178,20,ENP,ITH,2027-01-28,False,
179,20,ZAM,PET,2027-01-30,False,
180,21,BNK,MOD,2027-02-05,False,
181,21,TLG,MAS,2027-02-03,False,
182,21,PYR,CER,2027-02-05,False,
183,21,ISM,GOU,2027-02-02,False,
184,21,SMO,PHA,2027-02-02,False,
185,21,AHL,HAR,2027-02-04,False,
186,21,ITH,MAH,2027-02-01,False,
187,21,PET,ZED,2027-02-04,False,
188,21,ENP,ZAM,2027-02-03,False,
189,22,MAS,BNK,2027-02-09,False,
190,22,MOD,PYR,2027-02-12,False,
191,22,TLG,GOU,2027-02-08,False,
192,22,CER,SMO,2027-02-10,False,
193,22,HAR,ISM,2027-02-09,False,
194,22,PHA,ITH,2027-02-09,False,
195,22,PET,AHL,2027-02-10,False,
196,22,MAH,ZAM,2027-02-08,False,
197,22,ZED,ENP,2027-02-08,False,
198,23,BNK,PYR,2027-02-19,False,
199,23,GOU,MAS,2027-02-18,False,
200,23,SMO,MOD,2027-02-16,False,
201,23,HAR,TLG,2027-02-16,False,
202,23,ITH,CER,2027-02-15,False,
203,23,ISM,PET,2027-02-14,False,
204,23,ZAM,PHA,2027-02-15,False,
205,23,AHL,ENP,2027-02-17,False,
206,23,MAH,ZED,2027-02-14,False,
207,24,GOU,BNK,2027-02-23,False,
208,24,PYR,SMO,2027-02-26,False,
209,24,MAS,HAR,2027-02-23,False,
210,24,MOD,ITH,2027-02-24,False,
211,24,PET,TLG,2027-02-25,False,
212,24,ZAM,CER,2027-02-26,False,
213,24,ENP,ISM,2027-02-23,False,
214,24,ZED,PHA,2027-02-25,False,
215,24,AHL,MAH,2027-02-21,False,
216,25,SMO,BNK,2027-03-07,False,
217,25,HAR,GOU,2027-03-10,False,
218,25,PYR,ITH,2027-03-08,False,
219,25,MAS,PET,2027-03-10,False,
220,25,MOD,ZAM,2027-03-07,False,
221,25,TLG,ENP,2027-03-10,False,
222,25,CER,ZED,2027-03-07,False,
223,25,MAH,ISM,2027-03-09,False,
224,25,PHA,AHL,2027-03-08,False,
225,26,BNK,HAR,2027-03-15,False,
226,26,ITH,SMO,2027-03-14,False,
227,26,GOU,PET,2027-03-15,False,
228,26,ZAM,PYR,2027-03-12,False,
229,26,ENP,MAS,2027-03-15,False,
230,26,ZED,MOD,2027-03-11,False,
231,26,TLG,MAH,2027-03-14,False,
232,26,CER,AHL,2027-03-12,False,
233,26,ISM,PHA,2027-03-14,False,
234,27,ITH,BNK,2027-03-27,False,
235,27,PET,HAR,2027-03-31,False,
236,27,SMO,ZAM,2027-03-26,False,
237,27,ENP,GOU,2027-03-27,False,
238,27,ZED,PYR,2027-03-16,False,
239,27,MAH,MAS,2027-03-26,False,
240,27,AHL,MOD,2027-03-16,False,
241,27,PHA,TLG,2027-03-26,False,
242,27,ISM,CER,2027-03-27,False,
243,28,BNK,PET,2027-04-07,False,
244,28,ZAM,ITH,2027-04-10,False,
245,28,HAR,ENP,2027-04-08,False,
246,28,SMO,ZED,2027-04-04,False,
247,28,GOU,MAH,2027-04-06,False,
248,28,PYR,AHL,2027-04-09,False,
249,28,MAS,PHA,2027-04-10,False,
250,28,MOD,ISM,2027-04-05,False,
251,28,CER,TLG,2027-04-07,False,
252,29,ZAM,BNK,2027-04-16,False,
253,29,PET,ENP,2027-04-13,False,
254,29,ITH,ZED,2027-04-16,False,
255,29,HAR,MAH,2027-04-12,False,
256,29,AHL,SMO,2027-04-13,False,
257,29,GOU,PHA,2027-04-14,False,
258,29,ISM,PYR,2027-04-13,False,
259,29,MAS,CER,2027-04-14,False,
260,29,TLG,MOD,2027-04-12,False,
