match_idx,round,home,away,round_window_start,round_window_end,round_window_slot_count,feasible_slot_count,caf_filter_relaxed_for_repair
98,11,TLG,CER,2026-10-21,2026-10-25,15,837,False
99,12,BNK,ZAM,2026-10-26,2026-10-30,15,525,False
100,12,ENP,PET,2026-10-26,2026-10-30,15,837,False
101,12,ZED,ITH,2026-10-26,2026-10-30,15,837,False
102,12,MAH,HAR,2026-10-26,2026-10-30,15,837,False
103,12,SMO,AHL,2026-10-26,2026-10-30,15,534,False
104,12,PHA,GOU,2026-10-26,2026-10-30,15,837,False
105,12,PYR,ISM,2026-10-26,2026-10-30,15,530,False
106,12,CER,MAS,2026-10-26,2026-10-30,15,522,False
107,12,MOD,TLG,2026-10-26,2026-10-30,15,837,False
108,13,BNK,ENP,2026-10-31,2026-11-04,15,837,False
109,13,ZAM,ZED,2026-10-31,2026-11-04,15,525,False
110,13,PET,MAH,2026-10-31,2026-11-04,15,837,False
111,13,ITH,AHL,2026-10-31,2026-11-04,15,534,False
112,13,HAR,PHA,2026-10-31,2026-11-04,15,837,False
113,13,ISM,SMO,2026-10-31,2026-11-04,15,837,False
114,13,GOU,CER,2026-10-31,2026-11-04,15,837,False
115,13,TLG,PYR,2026-10-31,2026-11-04,15,530,False
116,13,MAS,MOD,2026-10-31,2026-11-04,15,522,False
117,14,ZED,BNK,2026-11-05,2026-11-09,15,837,False
118,14,ENP,MAH,2026-11-05,2026-11-09,15,837,False
119,14,AHL,ZAM,2026-11-05,2026-11-09,15,502,False
120,14,PET,PHA,2026-11-05,2026-11-09,15,837,False
121,14,ISM,ITH,2026-11-05,2026-11-09,15,837,False
122,14,HAR,CER,2026-11-05,2026-11-09,15,837,False
123,14,SMO,TLG,2026-11-05,2026-11-09,15,837,False
124,14,GOU,MOD,2026-11-05,2026-11-09,15,837,False
125,14,MAS,PYR,2026-11-05,2026-11-09,15,502,False
126,15,MAH,BNK,2026-11-20,2026-11-24,15,837,False
127,15,AHL,ZED,2026-11-20,2026-11-24,15,534,False
128,15,PHA,ENP,2026-11-20,2026-11-24,15,837,False
129,15,ZAM,ISM,2026-11-20,2026-11-24,15,525,False
130,15,CER,PET,2026-11-20,2026-11-24,15,837,False
131,15,ITH,TLG,2026-11-20,2026-11-24,15,837,False
132,15,MOD,HAR,2026-11-20,2026-11-24,15,837,False
133,15,SMO,MAS,2026-11-20,2026-11-24,15,522,False
134,15,PYR,GOU,2026-11-20,2026-11-24,15,530,False
135,16,BNK,AHL,2026-11-27,2026-12-01,15,534,False
136,16,MAH,PHA,2026-11-27,2026-12-01,15,837,False
137,16,ISM,ZED,2026-11-27,2026-12-01,15,837,False
138,16,ENP,CER,2026-11-27,2026-12-01,15,837,False
139,16,TLG,ZAM,2026-11-27,2026-12-01,15,525,False
140,16,PET,MOD,2026-11-27,2026-12-01,15,837,False
141,16,MAS,ITH,2026-11-27,2026-12-01,15,522,False
142,16,HAR,PYR,2026-11-27,2026-12-01,15,530,False
143,16,GOU,SMO,2026-11-27,2026-12-01,15,837,False
144,17,PHA,BNK,2026-12-02,2026-12-06,15,837,False
145,17,AHL,ISM,2026-12-02,2026-12-06,15,534,False
146,17,CER,MAH,2026-12-02,2026-12-06,15,837,False
147,17,ZED,TLG,2026-12-02,2026-12-06,15,837,False
148,17,MOD,ENP,2026-12-02,2026-12-06,15,837,False
149,17,ZAM,MAS,2026-12-02,2026-12-06,15,519,False
150,17,PYR,PET,2026-12-02,2026-12-06,15,530,False
151,17,ITH,GOU,2026-12-02,2026-12-06,15,837,False
152,17,SMO,HAR,2026-12-02,2026-12-06,15,837,False
153,18,BNK,ISM,2026-12-15,2026-12-19,15,837,False
154,18,PHA,CER,2026-12-15,2026-12-19,15,837,False
155,18,TLG,AHL,2026-12-15,2026-12-19,15,534,False
156,18,MAH,MOD,2026-12-15,2026-12-19,15,837,False
157,18,MAS,ZED,2026-12-15,2026-12-19,15,522,False
158,18,ENP,PYR,2026-12-15,2026-12-19,15,530,False
159,18,GOU,ZAM,2026-12-15,2026-12-19,15,525,False
160,18,PET,SMO,2026-12-15,2026-12-19,15,837,False
161,18,HAR,ITH,2026-12-15,2026-12-19,15,837,False
162,19,CER,BNK,2026-12-20,2026-12-24,19,837,False
163,19,ISM,TLG,2026-12-20,2026-12-24,19,837,False
164,19,MOD,PHA,2026-12-20,2026-12-24,19,837,False
