Matchday,Date,Home Team,Away Team,Time,Stadium
1.Matchday,Fri 11/12/20,ENP,ASW,1:30 PM,PETRO_SPORT
1.Matchday,Fri 11/12/20,TLG,GOU,4:00 PM,GEHAZ_REYADA
1.Matchday,Fri 11/12/20,ENT,CER,6:30 PM,AL_SALAM
1.Matchday,Sat 12/12/20,BNK,DEG,1:30 PM,CAIRO_INTL
1.Matchday,Sat 12/12/20,PYR,ITH,4:00 PM,30_JUNE
1.Matchday,Sat 12/12/20,MOK,ZAM,6:30 PM,ARAB_CONT
1.Matchday,Sun 13/12/20,MAS,ISM,4:00 PM,SUEZ_ST
1.Matchday,Sun 13/12/20,AHL,MAK,6:30 PM,CAIRO_INTL
1.Matchday,Mon 14/12/20,SMO,MAH,6:30 PM,BORG_ARAB
2.Matchday,Wed 16/12/20,ASW,TLG,1:30 PM,ASWAN
2.Matchday,Wed 16/12/20,CER,BNK,4:00 PM,SUEZ_CANAL
2.Matchday,Wed 16/12/20,DEG,MOK,6:30 PM,PETRO_SPORT
2.Matchday,Thu 17/12/20,GOU,MAS,1:30 PM,EL_GOUNA
2.Matchday,Thu 17/12/20,ISM,ENT,4:00 PM,ISMAILIA_ST
2.Matchday,Thu 17/12/20,ZAM,PYR,6:30 PM,CAIRO_INTL
2.Matchday,Fri 18/12/20,MAK,ENP,1:30 PM,CAIRO_INTL
2.Matchday,Fri 18/12/20,ITH,SMO,4:00 PM,ALEX_STADIUM
2.Matchday,Fri 18/12/20,AHL,MAH,6:30 PM,CAIRO_INTL
3.Matchday,Mon 21/12/20,BNK,ENT,1:30 PM,CAIRO_INTL
3.Matchday,Mon 21/12/20,GOU,ISM,4:00 PM,EL_GOUNA
3.Matchday,Mon 21/12/20,MAS,ASW,6:30 PM,SUEZ_ST
3.Matchday,Tue 22/12/20,ENP,MAH,4:00 PM,PETRO_SPORT
3.Matchday,Tue 22/12/20,TLG,MAK,6:30 PM,GEHAZ_REYADA
3.Matchday,Mon 28/12/20,SMO,ZAM,4:00 PM,BORG_ARAB
3.Matchday,Mon 28/12/20,AHL,ITH,6:30 PM,CAIRO_INTL
3.Matchday,Mon 11/01/21,PYR,DEG,4:00 PM,30_JUNE
3.Matchday,Tue 12/01/21,MOK,CER,4:00 PM,ARAB_CONT
4.Matchday,Thu 24/12/20,DEG,SMO,6:30 PM,PETRO_SPORT
4.Matchday,Fri 25/12/20,ASW,GOU,1:30 PM,ASWAN
4.Matchday,Fri 25/12/20,MAH,TLG,4:00 PM,MAHALLA
4.Matchday,Fri 25/12/20,ISM,BNK,6:30 PM,ISMAILIA_ST
4.Matchday,Sat 26/12/20,ENT,MOK,4:00 PM,AL_SALAM
4.Matchday,Sat 26/12/20,MAK,MAS,6:30 PM,CAIRO_INTL
4.Matchday,Sun 27/12/20,CER,PYR,6:30 PM,SUEZ_CANAL
4.Matchday,Mon 01/03/21,ITH,ENP,4:00 PM,ALEX_STADIUM
4.Matchday,Sun 18/04/21,ZAM,AHL,9:30 PM,CAIRO_INTL
5.Matchday,Tue 29/12/20,ASW,ISM,1:30 PM,ASWAN
