Matchday,Date,Home Team,Away Team,Time,Stadium
1.Matchday,Tue 18/10/22,ASW,ITH,3:00 PM,ASWAN
1.Matchday,Tue 18/10/22,BNK,PHA,5:00 PM,CAIRO_INTL
1.Matchday,Tue 18/10/22,MAS,CER,7:00 PM,SUEZ_ST
1.Matchday,Wed 19/10/22,ENP,PYR,5:00 PM,PETRO_SPORT
1.Matchday,Wed 19/10/22,ISM,AHL,Pending,ISMAILIA_ST
1.Matchday,Wed 19/10/22,ZAM,SMO,7:00 PM,CAIRO_INTL
1.Matchday,Thu 20/10/22,MOK,MAH,3:00 PM,ARAB_CONT
1.Matchday,Thu 20/10/22,HAR,MOD,5:00 PM,HARAS
1.Matchday,Thu 20/10/22,DAK,TLG,7:00 PM,PETRO_SPORT
2.Matchday,Sun 23/10/22,PYR,MAS,4:00 PM,30_JUNE
2.Matchday,Sun 23/10/22,CER,ZAM,6:00 PM,SUEZ_CANAL
2.Matchday,Sun 23/10/22,AHL,ASW,8:00 PM,CAIRO_INTL
2.Matchday,Mon 24/10/22,MAH,ISM,4:00 PM,MAHALLA
2.Matchday,Mon 24/10/22,ITH,DAK,6:00 PM,ALEX_STADIUM
2.Matchday,Mon 24/10/22,MOD,MOK,8:00 PM,AL_SALAM
2.Matchday,Tue 25/10/22,SMO,BNK,6:00 PM,BORG_ARAB
2.Matchday,Tue 25/10/22,TLG,ENP,7:00 PM,GEHAZ_REYADA
2.Matchday,Wed 26/10/22,PHA,HAR,5:00 PM,BORG_ARAB
3.Matchday,Sat 29/10/22,ASW,MAH,3:00 PM,ASWAN
3.Matchday,Sat 29/10/22,MAS,ENP,5:00 PM,SUEZ_ST
3.Matchday,Mon 31/10/22,ITH,TLG,4:00 PM,ALEX_STADIUM
3.Matchday,Mon 31/10/22,MOK,PHA,6:00 PM,ARAB_CONT
3.Matchday,Tue 01/11/22,HAR,SMO,4:00 PM,HARAS
3.Matchday,Tue 01/11/22,BNK,CER,6:00 PM,CAIRO_INTL
3.Matchday,Wed 02/11/22,DAK,AHL,4:00 PM,PETRO_SPORT
3.Matchday,Sun 11/12/22,ZAM,PYR,6:00 PM,CAIRO_INTL
3.Matchday,Mon 12/12/22,ISM,MOD,4:00 PM,ISMAILIA_ST
4.Matchday,Wed 02/11/22,ENP,ZAM,6:00 PM,PETRO_SPORT
4.Matchday,Wed 23/11/22,PHA,ISM,4:00 PM,BORG_ARAB
4.Matchday,Wed 23/11/22,MOD,ASW,Pending,AL_SALAM
4.Matchday,Wed 23/11/22,PYR,BNK,Pending,30_JUNE
4.Matchday,Sun 11/12/22,MAH,DAK,1:45 PM,MAHALLA
4.Matchday,Sun 11/12/22,TLG,MAS,4:00 PM,GEHAZ_REYADA
4.Matchday,Sun 11/12/22,SMO,MOK,Pending,BORG_ARAB
4.Matchday,Mon 12/12/22,CER,HAR,1:45 PM,SUEZ_CANAL
4.Matchday,Mon 12/12/22,AHL,ITH,6:00 PM,CAIRO_INTL
5.Matchday,Wed 30/11/22,HAR,PYR,1:45 PM,HARAS
5.Matchday,Wed 30/11/22,BNK,ENP,Pending,CAIRO_INTL
5.Matchday,Wed 30/11/22,ITH,MAH,6:00 PM,ALEX_STADIUM
5.Matchday,Thu 01/12/22,ASW,PHA,1:45 PM,ASWAN
5.Matchday,Thu 01/12/22,DAK,MOD,Pending,PETRO_SPORT
5.Matchday,Thu 01/12/22,ZAM,MAS,6:00 PM,CAIRO_INTL
5.Matchday,Fri 02/12/22,ISM,SMO,1:45 PM,ISMAILIA_ST
5.Matchday,Fri 02/12/22,MOK,CER,Pending,ARAB_CONT
5.Matchday,Fri 02/12/22,AHL,TLG,6:00 PM,CAIRO_INTL
6.Matchday,Tue 06/12/22,MAS,BNK,1:45 PM,SUEZ_ST
6.Matchday,Wed 07/12/22,PYR,MOK,1:45 PM,30_JUNE
6.Matchday,Wed 07/12/22,PHA,DAK,Pending,BORG_ARAB
6.Matchday,Wed 07/12/22,MAH,AHL,4:00 PM,MAHALLA
6.Matchday,Wed 07/12/22,TLG,ZAM,6:00 PM,GEHAZ_REYADA
6.Matchday,Thu 08/12/22,ENP,HAR,1:45 PM,PETRO_SPORT
6.Matchday,Thu 08/12/22,SMO,ASW,Pending,BORG_ARAB
6.Matchday,Thu 08/12/22,MOD,ITH,4:00 PM,AL_SALAM
6.Matchday,Thu 08/12/22,CER,ISM,6:00 PM,SUEZ_CANAL
7.Matchday,Wed 14/12/22,MAH,TLG,1:45 PM,MAHALLA
7.Matchday,Thu 15/12/22,ASW,CER,1:45 PM,ASWAN
7.Matchday,Thu 15/12/22,DAK,SMO,4:00 PM,PETRO_SPORT
7.Matchday,Thu 15/12/22,ITH,PHA,Pending,ALEX_STADIUM
7.Matchday,Thu 15/12/22,MOK,ENP,6:00 PM,ARAB_CONT
7.Matchday,Fri 16/12/22,ISM,PYR,1:45 PM,ISMAILIA_ST
7.Matchday,Fri 16/12/22,HAR,MAS,Pending,HARAS
7.Matchday,Fri 16/12/22,BNK,ZAM,4:00 PM,CAIRO_INTL
7.Matchday,Fri 16/12/22,AHL,MOD,6:00 PM,CAIRO_INTL
8.Matchday,Mon 19/12/22,CER,DAK,1:45 PM,SUEZ_CANAL
8.Matchday,Mon 19/12/22,SMO,ITH,4:00 PM,BORG_ARAB
8.Matchday,Mon 19/12/22,MOD,MAH,Pending,AL_SALAM
8.Matchday,Mon 19/12/22,PYR,ASW,6:00 PM,30_JUNE
8.Matchday,Tue 20/12/22,ENP,ISM,1:45 PM,PETRO_SPORT
8.Matchday,Tue 20/12/22,TLG,BNK,4:00 PM,GEHAZ_REYADA
8.Matchday,Tue 20/12/22,PHA,AHL,Pending,BORG_ARAB
8.Matchday,Tue 20/12/22,ZAM,HAR,6:00 PM,CAIRO_INTL
