Matchday,Date,Home Team,Away Team,Time
1.Matchday,Mon 18/09/23,Talaea El Gaish,Bank El Ahly,6:00 PM
1.Matchday,Tue 19/09/23,Zed FC,Ismaily,3:00 PM
1.Matchday,Tue 19/09/23,Ahly SC,El Masry,6:00 PM
1.Matchday,Wed 20/09/23,El Dakhlia,Enppi SC,3:00 PM
1.Matchday,Wed 20/09/23,El Mokawloon,Baladiya,6:00 PM
1.Matchday,Wed 20/09/23,Smouha,El Gouna,Pending
1.Matchday,Thu 21/09/23,Pharco FC,Modern Future,3:00 PM
1.Matchday,Thu 21/09/23,Ittihad Alex,Cleopatra FC,6:00 PM
1.Matchday,Thu 21/09/23,Pyramids FC,Zamalek,Pending
2.Matchday,Mon 25/09/23,Bank El Ahly,Pyramids FC,5:00 PM
2.Matchday,Mon 25/09/23,Zamalek,El Mokawloon,Pending
2.Matchday,Tue 26/09/23,Baladiya,Smouha,3:00 PM
2.Matchday,Tue 26/09/23,Modern Future,El Dakhlia,6:00 PM
2.Matchday,Wed 27/09/23,Enppi SC,Talaea El Gaish,3:00 PM
2.Matchday,Wed 27/09/23,Cleopatra FC,Ahly SC,6:00 PM
2.Matchday,Wed 27/09/23,El Gouna,Zed FC,Pending
2.Matchday,Thu 28/09/23,El Masry,Pharco FC,3:00 PM
2.Matchday,Thu 28/09/23,Ismaily,Ittihad Alex,6:00 PM
3.Matchday,Thu 05/10/23,Zed FC,Baladiya,3:00 PM
3.Matchday,Thu 05/10/23,Smouha,El Mokawloon,6:00 PM
3.Matchday,Fri 06/10/23,Ittihad Alex,El Gouna,3:00 PM
3.Matchday,Fri 06/10/23,Pharco FC,Cleopatra FC,6:00 PM
3.Matchday,Sat 07/10/23,El Dakhlia,El Masry,3:00 PM
3.Matchday,Sat 07/10/23,Bank El Ahly,Zamalek,6:00 PM
3.Matchday,Sat 07/10/23,Talaea El Gaish,Modern Future,Pending
3.Matchday,Sun 08/10/23,Ahly SC,Ismaily,6:00 PM
3.Matchday,Sun 08/10/23,Pyramids FC,Enppi SC,Pending
4.Matchday,Fri 20/10/23,El Masry,Talaea El Gaish,3:00 PM
4.Matchday,Fri 20/10/23,Cleopatra FC,El Dakhlia,Pending
4.Matchday,Sat 21/10/23,Baladiya,Ittihad Alex,3:00 PM
4.Matchday,Sat 21/10/23,Zamalek,Smouha,6:00 PM
4.Matchday,Sat 21/10/23,Enppi SC,Bank El Ahly,Pending
4.Matchday,Sun 22/10/23,El Mokawloon,Zed FC,3:00 PM
4.Matchday,Sun 22/10/23,Ismaily,Pharco FC,6:00 PM
4.Matchday,Sun 22/10/23,Modern Future,Pyramids FC,Pending
4.Matchday,Sat 11/11/23,El Gouna,Ahly SC,4:00 PM
5.Matchday,Fri 27/10/23,Pyramids FC,El Masry,4:00 PM
5.Matchday,Fri 27/10/23,Enppi SC,Zamalek,7:00 PM
5.Matchday,Sat 28/10/23,Pharco FC,El Gouna,4:00 PM
5.Matchday,Sat 28/10/23,Zed FC,Smouha,7:00 PM
5.Matchday,Sat 28/10/23,Ittihad Alex,El Mokawloon,Pending
5.Matchday,Sun 29/10/23,Talaea El Gaish,Cleopatra FC,3:00 PM
5.Matchday,Mon 30/10/23,El Dakhlia,Ismaily,3:00 PM
5.Matchday,Mon 30/10/23,Bank El Ahly,Modern Future,6:00 PM
5.Matchday,Tue 27/02/24,Ahly SC,Baladiya,6:00 PM
6.Matchday,Fri 03/11/23,Smouha,Ittihad Alex,3:00 PM
6.Matchday,Fri 03/11/23,Cleopatra FC,Pyramids FC,6:00 PM
6.Matchday,Fri 03/11/23,Zamalek,Zed FC,Pending
6.Matchday,Sat 04/11/23,El Gouna,El Dakhlia,3:00 PM
6.Matchday,Sat 04/11/23,Baladiya,Pharco FC,6:00 PM
6.Matchday,Sat 04/11/23,El Mokawloon,Ahly SC,Pending
6.Matchday,Sun 05/11/23,Ismaily,Talaea El Gaish,3:00 PM
6.Matchday,Sun 05/11/23,Modern Future,Enppi SC,6:00 PM
6.Matchday,Sun 05/11/23,El Masry,Bank El Ahly,Pending
7.Matchday,Tue 28/11/23,Pyramids FC,Ismaily,3:00 PM
7.Matchday,Tue 28/11/23,Ahly SC,Smouha,6:00 PM
7.Matchday,Wed 29/11/23,Modern Future,Zamalek,6:00 PM
7.Matchday,Thu 30/11/23,Ittihad Alex,Zed FC,3:00 PM
7.Matchday,Thu 30/11/23,Talaea El Gaish,El Gouna,6:00 PM
7.Matchday,Thu 30/11/23,Pharco FC,El Mokawloon,Pending
7.Matchday,Fri 01/12/23,Enppi SC,El Masry,3:00 PM
7.Matchday,Fri 01/12/23,El Dakhlia,Baladiya,Pending
7.Matchday,Fri 01/12/23,Bank El Ahly,Cleopatra FC,6:00 PM
8.Matchday,Mon 04/12/23,Smouha,Pharco FC,6:00 PM
