fixture_index,round_idx_0,Home_Team_ID,Away_Team_ID
232,25,CER,MOD
233,25,ZED,SMO
234,26,MAS,AHL
235,26,MOD,ZAM
236,26,SMO,PYR
237,26,ZED,HAR
238,26,CER,PET
239,26,ENP,MAH
240,26,ISM,ITH
241,26,GOU,TLG
242,26,PHA,BNK
243,27,GOU,AHL
244,27,ISM,PHA
245,27,BNK,MAH
246,27,PET,TLG
247,27,ITH,HAR
248,27,ENP,PYR
249,27,ZAM,CER
250,27,MAS,ZED
251,27,SMO,MOD
252,28,ITH,AHL
253,28,TLG,ENP
254,28,BNK,CER
255,28,PHA,ZED
256,28,GOU,SMO
257,28,ISM,MOD
258,28,MAH,MAS
259,28,PET,ZAM
260,28,PYR,HAR
261,29,PHA,AHL
262,29,BNK,GOU
263,29,ISM,TLG
264,29,MAH,ITH
265,29,ENP,PET
266,29,HAR,CER
267,29,ZED,PYR
268,29,SMO,ZAM
269,29,MAS,MOD
270,30,ENP,AHL
271,30,ITH,CER
272,30,ZED,TLG
273,30,SMO,BNK
274,30,MOD,PHA
275,30,GOU,MAS
276,30,ISM,ZAM
277,30,PYR,MAH
278,30,HAR,PET
279,31,AHL,ZED
280,31,SMO,CER
281,31,MOD,ENP
282,31,MAS,ITH
283,31,TLG,ZAM
284,31,PYR,BNK
285,31,PHA,HAR
286,31,PET,GOU
287,31,MAH,ISM
288,32,SMO,AHL
289,32,MOD,ZED
290,32,CER,MAS
291,32,ZAM,ENP
292,32,PYR,ITH
293,32,TLG,HAR
294,32,PET,BNK
295,32,MAH,PHA
296,32,ISM,GOU
297,33,PET,AHL
298,33,HAR,MAH
299,33,ISM,PYR
300,33,ZAM,GOU
301,33,PHA,MAS
302,33,BNK,MOD
303,33,SMO,TLG
304,33,ZED,ITH
305,33,ENP,CER
