Matchday,Date,Home Team,Away Team,Time
1.Matchday,Tue 18/10/22,Aswan SC,Ittihad Alex,3:00 PM
1.Matchday,Tue 18/10/22,Bank El Ahly,Pharco FC,5:00 PM
1.Matchday,Tue 18/10/22,El Masry,Cleopatra FC,7:00 PM
1.Matchday,Wed 19/10/22,Enppi SC,Pyramids FC,5:00 PM
1.Matchday,Wed 19/10/22,Ismaily,Ahly SC,Pending
1.Matchday,Wed 19/10/22,Zamalek,Smouha,7:00 PM
1.Matchday,Thu 20/10/22,El Mokawloon,El Mahalla,3:00 PM
1.Matchday,Thu 20/10/22,Harras Hodoud,Modern Future,5:00 PM
1.Matchday,Thu 20/10/22,El Dakhlia,Talaea El Gaish,7:00 PM
2.Matchday,Sun 23/10/22,Pyramids FC,El Masry,4:00 PM
2.Matchday,Sun 23/10/22,Cleopatra FC,Zamalek,6:00 PM
2.Matchday,Sun 23/10/22,Ahly SC,Aswan SC,8:00 PM
2.Matchday,Mon 24/10/22,El Mahalla,Ismaily,4:00 PM
2.Matchday,Mon 24/10/22,Ittihad Alex,El Dakhlia,6:00 PM
2.Matchday,Mon 24/10/22,Modern Future,El Mokawloon,8:00 PM
2.Matchday,Tue 25/10/22,Smouha,Bank El Ahly,6:00 PM
2.Matchday,Tue 25/10/22,Talaea El Gaish,Enppi SC,7:00 PM
2.Matchday,Wed 26/10/22,Pharco FC,Harras Hodoud,5:00 PM
3.Matchday,Sat 29/10/22,Aswan SC,El Mahalla,3:00 PM
3.Matchday,Sat 29/10/22,El Masry,Enppi SC,5:00 PM
3.Matchday,Mon 31/10/22,Ittihad Alex,Talaea El Gaish,4:00 PM
3.Matchday,Mon 31/10/22,El Mokawloon,Pharco FC,6:00 PM
3.Matchday,Tue 01/11/22,Harras Hodoud,Smouha,4:00 PM
3.Matchday,Tue 01/11/22,Bank El Ahly,Cleopatra FC,6:00 PM
3.Matchday,Wed 02/11/22,El Dakhlia,Ahly SC,4:00 PM
3.Matchday,Sun 11/12/22,Zamalek,Pyramids FC,6:00 PM
3.Matchday,Mon 12/12/22,Ismaily,Modern Future,4:00 PM
4.Matchday,Wed 02/11/22,Enppi SC,Zamalek,6:00 PM
4.Matchday,Wed 23/11/22,Pharco FC,Ismaily,4:00 PM
4.Matchday,Wed 23/11/22,Modern Future,Aswan SC,Pending
4.Matchday,Wed 23/11/22,Pyramids FC,Bank El Ahly,Pending
4.Matchday,Sun 11/12/22,El Mahalla,El Dakhlia,1:45 PM
4.Matchday,Sun 11/12/22,Talaea El Gaish,El Masry,4:00 PM
4.Matchday,Sun 11/12/22,Smouha,El Mokawloon,Pending
4.Matchday,Mon 12/12/22,Cleopatra FC,Harras Hodoud,1:45 PM
4.Matchday,Mon 12/12/22,Ahly SC,Ittihad Alex,6:00 PM
5.Matchday,Wed 30/11/22,Harras Hodoud,Pyramids FC,1:45 PM
5.Matchday,Wed 30/11/22,Bank El Ahly,Enppi SC,Pending
5.Matchday,Wed 30/11/22,Ittihad Alex,El Mahalla,6:00 PM
5.Matchday,Thu 01/12/22,Aswan SC,Pharco FC,1:45 PM
5.Matchday,Thu 01/12/22,El Dakhlia,Modern Future,Pending
5.Matchday,Thu 01/12/22,Zamalek,El Masry,6:00 PM
5.Matchday,Fri 02/12/22,Ismaily,Smouha,1:45 PM
5.Matchday,Fri 02/12/22,El Mokawloon,Cleopatra FC,Pending
5.Matchday,Fri 02/12/22,Ahly SC,Talaea El Gaish,6:00 PM
6.Matchday,Tue 06/12/22,El Masry,Bank El Ahly,1:45 PM
6.Matchday,Wed 07/12/22,Pyramids FC,El Mokawloon,1:45 PM
6.Matchday,Wed 07/12/22,Pharco FC,El Dakhlia,Pending
6.Matchday,Wed 07/12/22,El Mahalla,Ahly SC,4:00 PM
6.Matchday,Wed 07/12/22,Talaea El Gaish,Zamalek,6:00 PM
6.Matchday,Thu 08/12/22,Enppi SC,Harras Hodoud,1:45 PM
6.Matchday,Thu 08/12/22,Smouha,Aswan SC,Pending
6.Matchday,Thu 08/12/22,Modern Future,Ittihad Alex,4:00 PM
6.Matchday,Thu 08/12/22,Cleopatra FC,Ismaily,6:00 PM
7.Matchday,Wed 14/12/22,El Mahalla,Talaea El Gaish,1:45 PM
7.Matchday,Thu 15/12/22,Aswan SC,Cleopatra FC,1:45 PM
7.Matchday,Thu 15/12/22,El Dakhlia,Smouha,4:00 PM
7.Matchday,Thu 15/12/22,Ittihad Alex,Pharco FC,Pending
7.Matchday,Thu 15/12/22,El Mokawloon,Enppi SC,6:00 PM
7.Matchday,Fri 16/12/22,Ismaily,Pyramids FC,1:45 PM
7.Matchday,Fri 16/12/22,Harras Hodoud,El Masry,Pending
7.Matchday,Fri 16/12/22,Bank El Ahly,Zamalek,4:00 PM
7.Matchday,Fri 16/12/22,Ahly SC,Modern Future,6:00 PM
8.Matchday,Mon 19/12/22,Cleopatra FC,El Dakhlia,1:45 PM
8.Matchday,Mon 19/12/22,Smouha,Ittihad Alex,4:00 PM
8.Matchday,Mon 19/12/22,Modern Future,El Mahalla,Pending
8.Matchday,Mon 19/12/22,Pyramids FC,Aswan SC,6:00 PM
8.Matchday,Tue 20/12/22,Enppi SC,Ismaily,1:45 PM
8.Matchday,Tue 20/12/22,Talaea El Gaish,Bank El Ahly,4:00 PM
8.Matchday,Tue 20/12/22,Pharco FC,Ahly SC,Pending
8.Matchday,Tue 20/12/22,Zamalek,Harras Hodoud,6:00 PM
8.Matchday,Wed 21/12/22,El Masry,El Mokawloon,4:00 PM
9.Matchday,Fri 23/12/22,Ittihad Alex,Cleopatra FC,4:00 PM
9.Matchday,Fri 23/12/22,El Dakhlia,Pyramids FC,6:00 PM
9.Matchday,Sat 24/12/22,Aswan SC,Enppi SC,1:45 PM
9.Matchday,Sat 24/12/22,El Mahalla,Pharco FC,4:00 PM
9.Matchday,Sat 24/12/22,Harras Hodoud,Bank El Ahly,Pending
9.Matchday,Sat 24/12/22,Modern Future,Talaea El Gaish,6:00 PM
9.Matchday,Sun 25/12/22,Ismaily,El Masry,1:45 PM
9.Matchday,Sun 25/12/22,El Mokawloon,Zamalek,4:00 PM
9.Matchday,Sun 25/12/22,Ahly SC,Smouha,6:00 PM
10.Matchday,Tue 27/12/22,Pyramids FC,Ittihad Alex,4:00 PM
10.Matchday,Wed 28/12/22,Enppi SC,El Dakhlia,1:45 PM
10.Matchday,Wed 28/12/22,Talaea El Gaish,Harras Hodoud,4:00 PM
10.Matchday,Wed 28/12/22,Pharco FC,Modern Future,Pending
10.Matchday,Wed 28/12/22,Cleopatra FC,Ahly SC,6:00 PM
10.Matchday,Thu 29/12/22,El Masry,Aswan SC,4:00 PM
10.Matchday,Thu 29/12/22,Zamalek,Ismaily,6:00 PM
10.Matchday,Fri 30/12/22,Smouha,El Mahalla,4:00 PM
10.Matchday,Fri 30/12/22,Bank El Ahly,El Mokawloon,6:00 PM
11.Matchday,Mon 02/01/23,Aswan SC,Zamalek,1:45 PM
11.Matchday,Mon 02/01/23,El Dakhlia,El Masry,Pending
