Matchday,Date,Home Team,Away Team,Time,Stadium
1.Matchday,Mon 18/09/23,TLG,BNK,6:00 PM,GEHAZ_REYADA
1.Matchday,Tue 19/09/23,ZED,ISM,3:00 PM,CAIRO_INTL
1.Matchday,Tue 19/09/23,AHL,MAS,6:00 PM,CAIRO_INTL
1.Matchday,Wed 20/09/23,DAK,ENP,3:00 PM,PETRO_SPORT
1.Matchday,Wed 20/09/23,MOK,BAL,6:00 PM,ARAB_CONT
1.Matchday,Wed 20/09/23,SMO,GOU,Pending,BORG_ARAB
1.Matchday,Thu 21/09/23,PHA,MOD,3:00 PM,BORG_ARAB
1.Matchday,Thu 21/09/23,ITH,CER,6:00 PM,ALEX_STADIUM
1.Matchday,Thu 21/09/23,PYR,ZAM,Pending,30_JUNE
2.Matchday,Mon 25/09/23,BNK,PYR,5:00 PM,CAIRO_INTL
2.Matchday,Mon 25/09/23,ZAM,MOK,Pending,CAIRO_INTL
2.Matchday,Tue 26/09/23,BAL,SMO,3:00 PM,GHAZL_MAH
2.Matchday,Tue 26/09/23,MOD,DAK,6:00 PM,AL_SALAM
2.Matchday,Wed 27/09/23,ENP,TLG,3:00 PM,PETRO_SPORT
2.Matchday,Wed 27/09/23,CER,AHL,6:00 PM,SUEZ_CANAL
2.Matchday,Wed 27/09/23,GOU,ZED,Pending,EL_GOUNA
2.Matchday,Thu 28/09/23,MAS,PHA,3:00 PM,SUEZ_ST
2.Matchday,Thu 28/09/23,ISM,ITH,6:00 PM,ISMAILIA_ST
3.Matchday,Thu 05/10/23,ZED,BAL,3:00 PM,CAIRO_INTL
3.Matchday,Thu 05/10/23,SMO,MOK,6:00 PM,BORG_ARAB
3.Matchday,Fri 06/10/23,ITH,GOU,3:00 PM,ALEX_STADIUM
3.Matchday,Fri 06/10/23,PHA,CER,6:00 PM,BORG_ARAB
3.Matchday,Sat 07/10/23,DAK,MAS,3:00 PM,PETRO_SPORT
3.Matchday,Sat 07/10/23,BNK,ZAM,6:00 PM,CAIRO_INTL
3.Matchday,Sat 07/10/23,TLG,MOD,Pending,GEHAZ_REYADA
3.Matchday,Sun 08/10/23,AHL,ISM,6:00 PM,CAIRO_INTL
3.Matchday,Sun 08/10/23,PYR,ENP,Pending,30_JUNE
4.Matchday,Fri 20/10/23,MAS,TLG,3:00 PM,SUEZ_ST
4.Matchday,Fri 20/10/23,CER,DAK,Pending,SUEZ_CANAL
4.Matchday,Sat 21/10/23,BAL,ITH,3:00 PM,GHAZL_MAH
4.Matchday,Sat 21/10/23,ZAM,SMO,6:00 PM,CAIRO_INTL
4.Matchday,Sat 21/10/23,ENP,BNK,Pending,PETRO_SPORT
4.Matchday,Sun 22/10/23,MOK,ZED,3:00 PM,ARAB_CONT
4.Matchday,Sun 22/10/23,ISM,PHA,6:00 PM,ISMAILIA_ST
4.Matchday,Sun 22/10/23,MOD,PYR,Pending,AL_SALAM
4.Matchday,Sat 11/11/23,GOU,AHL,4:00 PM,EL_GOUNA
5.Matchday,Fri 27/10/23,PYR,MAS,4:00 PM,30_JUNE
5.Matchday,Fri 27/10/23,ENP,ZAM,7:00 PM,PETRO_SPORT
5.Matchday,Sat 28/10/23,PHA,GOU,4:00 PM,BORG_ARAB
5.Matchday,Sat 28/10/23,ZED,SMO,7:00 PM,CAIRO_INTL
5.Matchday,Sat 28/10/23,ITH,MOK,Pending,ALEX_STADIUM
5.Matchday,Sun 29/10/23,TLG,CER,3:00 PM,GEHAZ_REYADA
5.Matchday,Mon 30/10/23,DAK,ISM,3:00 PM,PETRO_SPORT
5.Matchday,Mon 30/10/23,BNK,MOD,6:00 PM,CAIRO_INTL
5.Matchday,Tue 27/02/24,AHL,BAL,6:00 PM,CAIRO_INTL
6.Matchday,Fri 03/11/23,SMO,ITH,3:00 PM,BORG_ARAB
6.Matchday,Fri 03/11/23,CER,PYR,6:00 PM,SUEZ_CANAL
6.Matchday,Fri 03/11/23,ZAM,ZED,Pending,CAIRO_INTL
6.Matchday,Sat 04/11/23,GOU,DAK,3:00 PM,EL_GOUNA
6.Matchday,Sat 04/11/23,BAL,PHA,6:00 PM,GHAZL_MAH
6.Matchday,Sat 04/11/23,MOK,AHL,Pending,ARAB_CONT
6.Matchday,Sun 05/11/23,ISM,TLG,3:00 PM,ISMAILIA_ST
6.Matchday,Sun 05/11/23,MOD,ENP,6:00 PM,AL_SALAM
6.Matchday,Sun 05/11/23,MAS,BNK,Pending,SUEZ_ST
7.Matchday,Tue 28/11/23,PYR,ISM,3:00 PM,30_JUNE
7.Matchday,Tue 28/11/23,AHL,SMO,6:00 PM,CAIRO_INTL
7.Matchday,Wed 29/11/23,MOD,ZAM,6:00 PM,AL_SALAM
7.Matchday,Thu 30/11/23,ITH,ZED,3:00 PM,ALEX_STADIUM
7.Matchday,Thu 30/11/23,TLG,GOU,6:00 PM,GEHAZ_REYADA
7.Matchday,Thu 30/11/23,PHA,MOK,Pending,BORG_ARAB
7.Matchday,Fri 01/12/23,ENP,MAS,3:00 PM,PETRO_SPORT
7.Matchday,Fri 01/12/23,DAK,BAL,Pending,PETRO_SPORT
7.Matchday,Fri 01/12/23,BNK,CER,6:00 PM,CAIRO_INTL
8.Matchday,Mon 04/12/23,SMO,PHA,6:00 PM,BORG_ARAB
8.Matchday,Tue 05/12/23,BAL,TLG,3:00 PM,GHAZL_MAH
8.Matchday,Tue 05/12/23,CER,ENP,6:00 PM,SUEZ_CANAL
