Matchday,Date,Home Team,Away Team,Time
1.Matchday,Fri 11/12/20,Enppi SC,Aswan SC,1:30 PM
1.Matchday,Fri 11/12/20,Talaea El Gaish,El Gouna,4:00 PM
1.Matchday,Fri 11/12/20,Entag El Harby,Cleopatra FC,6:30 PM
1.Matchday,Sat 12/12/20,Bank El Ahly,Wadi Degla,1:30 PM
1.Matchday,Sat 12/12/20,Pyramids FC,Ittihad Alex,4:00 PM
1.Matchday,Sat 12/12/20,El Mokawloon,Zamalek,6:30 PM
1.Matchday,Sun 13/12/20,El Masry,Ismaily,4:00 PM
1.Matchday,Sun 13/12/20,Ahly SC,El Makasa,6:30 PM
1.Matchday,Mon 14/12/20,Smouha,El Mahalla,6:30 PM
2.Matchday,Wed 16/12/20,Aswan SC,Talaea El Gaish,1:30 PM
2.Matchday,Wed 16/12/20,Cleopatra FC,Bank El Ahly,4:00 PM
2.Matchday,Wed 16/12/20,Wadi Degla,El Mokawloon,6:30 PM
2.Matchday,Thu 17/12/20,El Gouna,El Masry,1:30 PM
2.Matchday,Thu 17/12/20,Ismaily,Entag El Harby,4:00 PM
2.Matchday,Thu 17/12/20,Zamalek,Pyramids FC,6:30 PM
2.Matchday,Fri 18/12/20,El Makasa,Enppi SC,1:30 PM
2.Matchday,Fri 18/12/20,Ittihad Alex,Smouha,4:00 PM
2.Matchday,Fri 18/12/20,Ahly SC,El Mahalla,6:30 PM
3.Matchday,Mon 21/12/20,Bank El Ahly,Entag El Harby,1:30 PM
3.Matchday,Mon 21/12/20,El Gouna,Ismaily,4:00 PM
3.Matchday,Mon 21/12/20,El Masry,Aswan SC,6:30 PM
3.Matchday,Tue 22/12/20,Enppi SC,El Mahalla,4:00 PM
3.Matchday,Tue 22/12/20,Talaea El Gaish,El Makasa,6:30 PM
3.Matchday,Mon 28/12/20,Smouha,Zamalek,4:00 PM
3.Matchday,Mon 28/12/20,Ahly SC,Ittihad Alex,6:30 PM
3.Matchday,Mon 11/01/21,Pyramids FC,Wadi Degla,4:00 PM
3.Matchday,Tue 12/01/21,El Mokawloon,Cleopatra FC,4:00 PM
4.Matchday,Thu 24/12/20,Wadi Degla,Smouha,6:30 PM
4.Matchday,Fri 25/12/20,Aswan SC,El Gouna,1:30 PM
4.Matchday,Fri 25/12/20,El Mahalla,Talaea El Gaish,4:00 PM
4.Matchday,Fri 25/12/20,Ismaily,Bank El Ahly,6:30 PM
4.Matchday,Sat 26/12/20,Entag El Harby,El Mokawloon,4:00 PM
4.Matchday,Sat 26/12/20,El Makasa,El Masry,6:30 PM
4.Matchday,Sun 27/12/20,Cleopatra FC,Pyramids FC,6:30 PM
4.Matchday,Mon 01/03/21,Ittihad Alex,Enppi SC,4:00 PM
4.Matchday,Sun 18/04/21,Zamalek,Ahly SC,9:30 PM
5.Matchday,Tue 29/12/20,Aswan SC,Ismaily,1:30 PM
5.Matchday,Wed 30/12/20,El Gouna,El Makasa,1:30 PM
5.Matchday,Wed 30/12/20,El Mokawloon,Bank El Ahly,4:00 PM
5.Matchday,Wed 30/12/20,El Masry,El Mahalla,6:30 PM
5.Matchday,Fri 01/01/21,Pyramids FC,Entag El Harby,4:00 PM
5.Matchday,Fri 01/01/21,Ahly SC,Wadi Degla,6:30 PM
5.Matchday,Sat 02/01/21,Smouha,Cleopatra FC,1:30 PM
5.Matchday,Sat 02/01/21,Talaea El Gaish,Ittihad Alex,4:00 PM
5.Matchday,Sat 02/01/21,Enppi SC,Zamalek,6:30 PM
6.Matchday,Thu 07/01/21,Ittihad Alex,El Masry,4:00 PM
6.Matchday,Fri 08/01/21,Bank El Ahly,Pyramids FC,1:30 PM
6.Matchday,Fri 08/01/21,Wadi Degla,Enppi SC,4:00 PM
6.Matchday,Fri 08/01/21,Cleopatra FC,Ahly SC,6:30 PM
6.Matchday,Sat 09/01/21,El Makasa,Aswan SC,1:30 PM
